,"$H[h(X, X)]$","$H[h(Y, Y)]$","$H[h(Z, Z)]$","$I[h(X, Y)]$","$I[h(Y, Z)]$","$I[h(X, Z)]$","$I[h(X, Y+Z)]$","$I[h(Y, X+Z)]$","$I[h(Z, X+Y)]$"
0,1.1471678214247512,0.7102998998573077,0.6677125780515757,2.3924742252121125,0.012671830875041291,0.055475927476373116,6.723490101163019e-08,5.478952861846574e-05,1.8999661926169363e-07
1,0.5698934403597028,1.183996968946282,0.716465449104981,1.5174526292107644,0.04029792579946977,0.05193144104484567,7.586189055719039e-08,5.6852216542460865e-09,5.125903748882695e-12
2,0.9915769373234022,0.7307875569195987,0.6437939650774203,1.0512957355296906,0.018839260571094914,0.07600084637473924,4.470566920049654e-05,0.004037925823691861,0.0009914161996413243
3,0.9155655902419951,0.8932643326913801,0.5963284510327113,3.332274044030709,0.07412991184462608,0.3319254977308017,0.142916465787218,0.00018655823776829144,1.2684100653599858e-06
4,0.83817857023711,0.7082049212572439,0.6099780219544918,2.790876433765474,0.11720255190839098,0.0860528388586082,5.956974051328211e-06,4.2742377406557584e-07,4.5318988212009805e-08
5,1.0170060467859237,0.8360997102402653,0.6199603336882443,3.2567642055058803,0.06373373399546363,0.16437756432646078,0.00023818354453566734,2.294859303353735e-09,8.595427126144721e-05
6,0.8682410185848503,0.9450337326567019,0.2861756861884855,3.6432028332983717,0.03958748811775782,0.013934786980584195,0.043503494196182234,0.002115924981469406,1.9545411440886944e-07
7,0.6610566409694172,0.8322055578068397,0.6660120022749421,1.56494672714442,0.0254702810593113,0.13984272173681062,8.507982994775773e-06,6.002162714031729e-06,9.729314478021152e-12
8,0.7446563264884775,0.7592517079789998,0.44514245993314694,1.557812504401415,0.01646408790748542,0.006127814971711182,0.00709162165126388,2.3273250568079216e-08,5.010361138210757e-12
9,0.854308828186498,1.4299786877339924,0.37355313035680254,1.8021725629722407,0.013300945369156192,0.004177549184037716,4.72158756332746e-06,1.124468955304445e-05,1.2169031057053212e-05
10,0.7754027129943917,0.8469259398881565,0.7997197512061098,6.744361295709725,0.12000555143314388,0.03770300370747091,2.1558954703841445e-06,0.0011963694249352763,0.00011329878146484064
11,1.1602760252513378,0.7023307639219226,0.6443956909961793,1.690895609536215,0.03497645794319564,0.13348255136755285,1.3131787983995164e-08,1.1955216828878349e-06,0.0004385342562683462
12,0.9837314644009876,1.0153618577993595,0.5328984929818975,2.6878472776382316,0.0845066528419602,0.028158258253813358,1.0233824135890376e-09,6.395421161243014e-11,2.214893097266423e-05
13,1.2081760892726778,0.6532904205850688,0.7232920896426532,2.8052448813200552,0.013220926914523996,0.015299679594390145,9.35446104928221e-13,1.3141174149070675e-07,3.306888468107701e-10
14,1.0360874151787798,1.0717698541063228,0.4611683459014775,2.433592681183787,0.4733634844216412,0.14928092126877823,0.015689989783723435,0.05854065057907493,0.00025594292899830824
