,Measure,density,ABpvalue,BCpvalue,CApvalue,pReward
2687,HX_HY_HZ,expset,2.606425196403851e-07,2.0780424259812317e-21,0.0,4.79114370335667e-12
2759,HX_HY_HZ,gausset,1.804248696089926e+41,9.617611112802324e+41,9.616413999360768e+40,0.0
18596,HXY_HYZ_HXZ,expset,1.5019868058601852e-12,1.16086249437626e-07,1.1117151387815348e-38,9.087370697990643e-06
18575,HXY_HYZ_HXZ,gausset,,,,
13257,IXY_IYZ_IXZ,expset,9.590930218417636e-48,4.2752550150687335e-08,2.7136846197537515e-84,0.013908501389207831
13255,IXY_IYZ_IXZ,gausset,,,,
10034,IXYZ_IYZX_IXZY,gausset,0.015468318527473518,0.020817259113423525,0.013833214001314405,0.0
10512,IXYZ_IYZX_IXZY,expset,0.07276695606353463,3.3752912301215016e-32,4.2597690125952056e-11,0.0
