,"$H[h(X, X)]$","$H[h(Y, Y)]$","$H[h(Z, Z)]$","$H[h(Y+Z, Y+Z)]$","$H[h(X+Z, X+Z)]$","$H[h(X+Y, X+Y)]$","$I[h(Y, X)]$","$I[h(Z, X)]$","$I[h(Y+Z, X)]$","$I[h(Z, Y)]$","$I[h(X+Z, Y)]$","$I[h(X+Y, Z)]$"
0,-2851.603843626832,-3340.421857167652,-548.3676577744266,0.01575700105050787,2.6305386906794017e-06,0.04439196278092743,2929.3449293985523,1208.6899990828276,0.029917223737865848,80.03314416121333,1.6703627281346457e-06,0.10175380873468655
1,-2960.899918077434,-924.1823237920571,-1325.4401237535606,0.00018113470000668313,0.7365528264322582,0.04756870964772836,-316.88018395675203,919.8326116745671,6.114106516523671e-05,462.3454420375224,3.8414644727966514,0.10682721628455721
2,-3141.353525765616,-1922.612089987629,-849.3973950453357,0.029101749685196347,0.008104414160643702,0.02061037277774974,-429.61198563968276,820.1411118130034,0.08625511206211399,-219.0654393720476,0.0024072663767354596,0.008034289029853741
3,-2482.261153486471,-871.0994828441691,-166.16955244123156,0.00026647693554094205,0.48523662799076306,0.0003693989052258454,1316.2018964635472,-177.02038160208022,0.00026867346676024903,-160.77739054777044,0.7110087647567499,0.00036507573372705917
4,-3090.525238303366,-2797.785066566524,-235.1948277899063,0.007965757624244849,0.015975720114388813,0.3886516941436936,-249.6033817365597,129.45737286301224,0.0133581850883551,122.7489310926003,0.02146350030938579,5.144563111747842
5,-2820.2552950846466,-2794.301685779002,-760.6076709295597,3.46200351564052e-06,0.008399788059496241,0.3791131871755318,351.4381553670378,913.5409125171692,2.585395522418629e-06,955.127737307605,0.0250214331851304,2.033588055769794
6,-2724.6191913812227,-2354.3949063924765,-1057.366031884535,0.00035700286133809306,0.7601943775788015,1.213191199514247,854.3039730775015,-195.87754257724006,0.00015082949972773204,-245.62087795926936,-1.252721059205514,2.7153960118182567
7,-2852.6948823071866,-2903.7336901572303,-681.945042425306,0.36313721956515693,0.02266810234075794,1.9479776011878946,-2149.5639500370517,-317.92074839651485,1.8662611289829,358.867028818014,0.03244064942823899,9.234041187219145
8,-2853.561412338603,-1223.1964365704575,-611.4577862410576,0.023808508531045824,0.03211503443166965,0.5731183069585407,-529.8529603634973,-411.11244459619815,0.015525035060833695,496.8153793617562,0.02875835631958266,-0.9591429711041779
9,-3156.272796823627,-2344.9941564759347,-166.3537943409,0.00018869313422002564,0.016285009986211033,1.1167187752825056,-1130.5678742735838,72.03033327953072,-3.9500370000270315e-05,-129.38242697786123,0.031070466790834285,3.191939657590238
