,Measure,density,ABpvalue,BCpvalue,CApvalue,pReward
2705,HX_HY_HZ,expset,5.1678475216720616e-12,2.660676282026015e-14,6.475860285747761e-29,0.9994833487580732
2810,HX_HY_HZ,gausset,2.451545282156052e-116,1.6997116993226099e+37,5.3905310632463935e+32,0.0
18515,HXY_HYZ_HXZ,expset,2.497965430832007e-10,8.006193406574039e-13,4.591617755847538e-34,0.97532975558496
18655,HXY_HYZ_HXZ,gausset,,,,
13301,IXY_IYZ_IXZ,expset,1.2070003119150451e-09,2.8471591928391624e-08,2.729687306981173e-09,0.058008879064166886
13321,IXY_IYZ_IXZ,gausset,,,,
10414,IXYZ_IYZX_IXZY,expset,7.028810175448539e-20,8.984195614041894e-12,3.9826870663389685e-19,0.999101983896616
10260,IXYZ_IYZX_IXZY,gausset,0.014857681338345825,0.018352799480130855,0.01091152034325092,0.0
