H_X,H_Y,H_YgX,H_Z,H_ZgX,H_ZgY,I_YX,I_ZX,I_ZY
7.912295343065325,7.980503400086215,7.980503400086203,8.447879219196288,8.447879219196281,8.447879219196283,1.2434497875801753e-14,7.105427357601002e-15,5.329070518200751e-15
7.782906899271343,7.75580919378303,7.755809193783027,8.505710420626118,8.505710420626135,8.505710420626123,2.6645352591003757e-15,-1.7763568394002505e-14,-5.329070518200751e-15
7.916672229044222,7.7820962351189955,7.782096235118989,8.51942709589515,8.51942709589515,8.51942709589515,6.217248937900877e-15,0.0,0.0
7.886815222432051,7.891103053916133,7.8911030539161215,8.502879950051728,8.502879950051728,8.502879950051721,1.1546319456101628e-14,0.0,7.105427357601002e-15
8.091158475164173,7.695902583115112,7.695902583115114,8.427775978845775,8.427775978845785,8.42777597884577,-1.7763568394002505e-15,-1.0658141036401503e-14,5.329070518200751e-15
7.858599804987958,7.8163563271888465,7.816356327188844,8.525467001181351,8.525467001181335,8.52546700118133,2.6645352591003757e-15,1.5987211554602254e-14,2.1316282072803006e-14
7.7870580042092605,7.941102683720182,7.9411026837202074,8.444461010185647,8.444461010185647,8.444461010185627,-2.5757174171303632e-14,0.0,1.9539925233402755e-14
7.905511201245678,7.745289308657162,7.745289308657145,8.50720419047183,8.507204190471857,8.507204190471857,1.687538997430238e-14,-2.6645352591003757e-14,-2.6645352591003757e-14
7.9585911880017655,7.832774141553751,7.832774141553755,8.421224563787137,8.421224563787137,8.421224563787142,-4.440892098500626e-15,0.0,-5.329070518200751e-15
7.754546431072056,7.961144838016721,7.961144838016737,8.537486175175331,8.537486175175324,8.537486175175323,-1.5987211554602254e-14,7.105427357601002e-15,8.881784197001252e-15
7.860790815094039,7.887834866785129,7.887834866785148,8.419650120946505,8.4196501209465,8.419650120946498,-1.9539925233402755e-14,5.329070518200751e-15,7.105427357601002e-15
7.9074898630826445,7.659949373372751,7.659949373372759,8.496452291070957,8.496452291070959,8.496452291070948,-7.993605777301127e-15,-1.7763568394002505e-15,8.881784197001252e-15
7.831301548075437,7.863394203315399,7.863394203315387,8.49687110908911,8.496871109089126,8.49687110908912,1.1546319456101628e-14,-1.5987211554602254e-14,-1.0658141036401503e-14
7.932917499320093,7.70099654913416,7.700996549134152,8.522509143265104,8.52250914326508,8.522509143265108,7.993605777301127e-15,2.4868995751603507e-14,-3.552713678800501e-15
7.878158915352743,7.835690264454407,7.835690264454418,8.390680734995309,8.390680734995309,8.390680734995296,-1.0658141036401503e-14,0.0,1.2434497875801753e-14
8.031287671499468,7.829823060661875,7.829823060661875,8.477846062852814,8.477846062852816,8.477846062852812,0.0,-1.7763568394002505e-15,1.7763568394002505e-15
8.015242396117362,7.776331205989085,7.776331205989091,8.506327435510517,8.50632743551052,8.506327435510523,-6.217248937900877e-15,-3.552713678800501e-15,-5.329070518200751e-15
7.845801824972472,7.928063075233364,7.928063075233369,8.451505125316649,8.451505125316658,8.451505125316638,-4.440892098500626e-15,-8.881784197001252e-15,1.0658141036401503e-14
7.687026225178767,7.808274447567257,7.808274447567246,8.392558920619017,8.392558920619043,8.392558920619045,1.0658141036401503e-14,-2.6645352591003757e-14,-2.842170943040401e-14
7.68349343756029,7.800386944638401,7.800386944638399,8.42925584034814,8.429255840348137,8.42925584034814,1.7763568394002505e-15,3.552713678800501e-15,0.0
8.053668151100652,7.780597347096172,7.780597347096149,8.54339186255881,8.543391862558781,8.543391862558815,2.220446049250313e-14,2.842170943040401e-14,-5.329070518200751e-15
7.804927609378971,7.852079750938143,7.852079750938141,8.514586159988088,8.514586159988088,8.514586159988093,1.7763568394002505e-15,0.0,-5.329070518200751e-15
7.913080090517644,7.855000119263562,7.855000119263552,8.523082442702881,8.523082442702886,8.523082442702906,9.769962616701378e-15,-5.329070518200751e-15,-2.4868995751603507e-14
7.876860570676341,7.833570070496381,7.833570070496389,8.496602843647565,8.49660284364758,8.496602843647569,-7.993605777301127e-15,-1.4210854715202004e-14,-3.552713678800501e-15
7.7786595833810495,7.872948263807356,7.87294826380736,8.43198064953615,8.431980649536175,8.431980649536177,-4.440892098500626e-15,-2.4868995751603507e-14,-2.6645352591003757e-14
7.797838868408267,7.916488721025551,7.916488721025568,8.471668817472342,8.471668817472356,8.471668817472336,-1.7763568394002505e-14,-1.4210854715202004e-14,5.329070518200751e-15
8.140766859693263,7.703961170674802,7.703961170674812,8.348653130178311,8.348653130178317,8.348653130178292,-9.769962616701378e-15,-5.329070518200751e-15,1.9539925233402755e-14
7.7978707246181,7.817327173339065,7.81732717333904,8.445247506729975,8.445247506729954,8.445247506729984,2.4868995751603507e-14,2.1316282072803006e-14,-8.881784197001252e-15
7.795476323528712,7.883482928090219,7.883482928090214,8.438372983613924,8.438372983613927,8.438372983613942,4.440892098500626e-15,-3.552713678800501e-15,-1.7763568394002505e-14
8.047030147594326,7.783994368041512,7.783994368041514,8.382317906925717,8.382317906925717,8.382317906925717,-1.7763568394002505e-15,0.0,0.0
8.007349197191203,7.862552568893738,7.86255256889374,8.425518814188372,8.42551881418836,8.425518814188367,-1.7763568394002505e-15,1.2434497875801753e-14,5.329070518200751e-15
8.058423213317443,7.815042529767204,7.815042529767218,8.426678459541135,8.426678459541153,8.42667845954115,-1.3322676295501878e-14,-1.7763568394002505e-14,-1.5987211554602254e-14
8.005965056635462,7.644985795002238,7.644985795002235,8.379197863885516,8.379197863885537,8.379197863885524,3.552713678800501e-15,-2.1316282072803006e-14,-8.881784197001252e-15
7.978463115430739,7.7537402592996925,7.753740259299677,8.383145373166997,8.383145373166988,8.383145373166986,1.509903313490213e-14,8.881784197001252e-15,1.0658141036401503e-14
7.956890118893545,7.786650447344586,7.786650447344582,8.505481121862056,8.50548112186206,8.505481121862061,4.440892098500626e-15,-3.552713678800501e-15,-5.329070518200751e-15
8.10321833658302,7.816165690967884,7.816165690967881,8.472662972246587,8.472662972246587,8.472662972246582,2.6645352591003757e-15,0.0,5.329070518200751e-15
