Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,1.0,"[1.3934560068977157e-33, 7.919827712508854e-174, 4.160316956185921e-178]"
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,5.346683935251363e-207,"[3.061229910136393e-181, 0.47495863770621727, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,1.0,"[9.211964676017796e-36, 1.177844308167982e-172, 4.160316956185921e-178]"
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,2.6631877778067923e-38,"[1.8141038146068362e-08, 0.0015833078659241518, 0.08651870971579412]"
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,1.7571187967482117e-24,"[3.626430374006795e-181, 0.05469836681153531, 4.1346310544130784e-181]"
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,5.2790311164397324e-48,"[3.914764167255756e-181, 0.10886034188350863, 3.830122826296217e-181]"
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,1.0,"[4.968626907322188e-47, 6.981010239380257e-178, 8.782313017419191e-170]"
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,5.830671314431653e-33,"[1.2612058677708664e-15, 9.97002095249971e-12, 0.07422217592679715]"
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,5.008338988442626e-36,"[2.352540703208243e-15, 1.3044335556427847e-11, 0.08128195902689317]"
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,7.490565316956056e-57,"[3.23321196457678e-181, 0.12923370602975054, 3.6463029607728285e-181]"
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,1.0,"[4.352410509840474e-142, 4.913426406300958e-25, 2.667404092059505e-110]"
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,0.995328203977009,"[3.8715405165324444e-21, 4.682742969940049e-06, 6.257378209109548e-09]"
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,1.0,"[6.794765822198012e-174, 3.5938710258642177e-45, 1.2415924836423694e-159]"
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,4.023780701346825e-52,"[3.414843735846155e-181, 0.11834220290205522, 3.6662843152751354e-181]"
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,0.9997025528343864,"[1.6435293647696318e-20, 2.9749141179593816e-07, 2.5031750502709784e-08]"
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,0.9997428426165185,"[1.3078866416287355e-20, 2.5719045411113114e-07, 2.5618231952187028e-08]"
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,0.8338778393198996,"[9.264509408746048e-12, 0.00018166836298760586, 1.1130626040696783e-05]"
