Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
310,Joint E.,10.0,1.0,expset,1t4,2.606E-07,2.078E-21,0.000E+00,0.00000
52,Joint E.,6.7,1.0,gausset,1t4,1.216E+18,1.216E+18,8.422E+17,0.00000
260,CMI,0.0,1.0,expset,2t3,7.277E-02,3.375E-32,4.260E-11,0.00000
52,CMI,6.7,1.0,gausset,1t4,7.972E+17,9.324E+17,7.207E+17,0.00000
310,MI,10.0,5.0,expset,2t4,9.591E-48,4.275E-08,2.714E-84,0.01391
260,MI,0.0,3.0,gausset,1t4,1.909E-02,2.301E-03,3.381E-03,0.00000
310,Entropy,10.0,5.0,expset,2t3,1.502E-12,1.161E-07,1.112E-38,0.00001
52,Entropy,6.7,1.0,gausset,1t4,9.258E+17,9.937E+17,7.935E+17,0.00000
