,H(Y),H(Y|X),I(Y;X),H(Z),H(Z|Y),I(Z;Y),H(X),H(X|Z),I(X;Z)
0,5.752934927333976,2.1462322007477135,3.606702726586262,6.731928662754636,1.7264424686317705,5.005486194122866,5.3781219481861875,0.45027650008203624,4.927845448104152
1,5.936848127764384,1.519809185218673,4.4170389425457115,6.749429989032572,1.3444452490926413,5.404984739939931,5.727652227735177,0.36221603217206805,5.36543619556311
2,5.680635291419435,1.7265958313698169,3.954039460049618,6.5723845740937294,1.6707737457715603,4.901610828322169,5.8164732869057,0.5953737379482876,5.221099548957413
3,5.110515193285087,1.9762798180485708,3.134235375236516,6.667167036791074,2.362343726496585,4.3048233102944895,5.373854835895017,0.48920969529194913,4.884645140603068
4,5.226991084103477,1.7664412735831714,3.4605498105203054,6.665139087439104,2.333509776083263,4.331629311355841,5.777327772266272,0.536571683298431,5.240756088967841
5,5.217262398372649,2.1842702382461274,3.032992160126522,6.660098359527844,2.166620539495962,4.493477820031881,5.349927707013153,0.6195879061519196,4.730339800861233
6,5.263722372396536,2.4538212059761473,2.809901166420389,6.821539055230977,2.0702763010512237,4.751262754179753,4.852350622268409,0.6811058771093509,4.171244745159058
7,4.970690056362972,2.115195893578891,2.8554941627840815,6.59462077557767,2.5117615064698287,4.082859269107841,5.430468129995406,0.8118141774932945,4.618653952502111
8,5.448222700612439,2.295451292913507,3.1527714076989315,6.762785623540795,2.043705802857545,4.71907982068325,5.406673303872802,0.6152020876915836,4.791471216181218
9,4.897877841782973,1.914874746292683,2.9830030954902904,6.66143778712593,2.3873917534395286,4.2740460336864015,5.454929919176324,0.5070477704290236,4.947882148747301
10,5.281433969226813,1.4582992356953528,3.8231347335314605,6.739823053301773,1.9360781820717596,4.8037448712300135,5.770158779936343,0.46198466672252175,5.308174113213822
11,5.176580274599343,1.753219149457842,3.4233611251415006,6.799374319445483,2.522582173837252,4.276792145608231,6.057423499540403,0.5095758483751225,5.547847651165281
12,5.240196716554904,1.8452337340284954,3.394962982526409,6.707425957947428,2.0660228985895754,4.641403059357852,5.572231098429371,0.5278100978089328,5.044421000620438
13,5.595222352780241,1.8909688941527967,3.7042534586274445,6.670362407305973,1.6570960119939946,5.0132663953119785,5.567885659218091,0.5995235789046688,4.9683620803134225
14,5.886426853135328,1.8790535650807574,4.007373288054571,6.713378127429567,1.4222409023345002,5.291137225095067,5.829399497701551,0.6198241232591061,5.209575374442444
15,5.109348042477681,1.625131698077867,3.4842163443998135,6.716919762864986,2.054026815738635,4.662892947126351,5.739451473829312,0.5020166515288579,5.237434822300454
16,5.257034189490252,1.971902443298915,3.285131746191337,6.690348453752636,2.0605883884924556,4.6297600652601805,5.503794795683374,0.6095696184976613,4.894225177185713
17,5.473193770411896,2.0998117214543432,3.373382048957553,6.725993264798104,1.7772812582523034,4.948712006545801,5.769458455542146,0.8306167943432936,4.938841661198853
18,4.8734725005365025,0.9872914592888594,3.886181041247643,6.724835960773113,2.7706837207331345,3.9541522400399787,6.243765469358558,0.33974215266662794,5.90402331669193
19,4.937364556364076,1.2678317603541673,3.669532796009909,6.674829786760868,2.4819296112696367,4.192900175491231,6.198830043988899,0.44605550079251033,5.752774543196389
20,5.005000299434118,2.002166858605342,3.0028334408287765,6.688654447235855,2.3966852413344366,4.2919692059014185,5.399330896925745,0.6125806021504057,4.78675029477534
21,5.7692163760120305,2.192876294828389,3.5763400811836417,6.750321918626938,1.4806530552876351,5.2696688633393025,5.492947896061683,0.6130059808656025,4.87994191519608
22,5.195178832932805,1.6880039071605029,3.507174925772302,6.717714105857229,2.0621904577713197,4.655523648085909,5.770728714883177,0.6257000470804499,5.145028667802727
23,5.109047739431848,2.211905046884937,2.8971426925469106,6.706420068732918,2.2219850538016623,4.484435014931256,5.066039604925868,0.4830145602530575,4.5830250446728105
24,5.380853041230989,2.2753502260584244,3.105502815172565,6.80067883144257,1.8384380340828306,4.9622407973597396,5.359320028972674,0.6359824748912647,4.72333755408141
25,5.384929409424124,2.6003082566788613,2.7846211527452622,6.538777256892954,1.8093282782785782,4.729448978614375,4.847645387821893,0.8061093290160538,4.041536058805839
26,5.516011749813155,1.9928945164388419,3.5231172333743137,6.465095902930916,1.6978026368516002,4.7672932660793155,5.413860827215548,0.8057497140710548,4.608111113144494
27,5.584771731484784,1.673050226091127,3.9117215053936567,6.72057276480612,1.6187459183488204,5.1018268464573,5.697961948757482,0.5033027597490839,5.194659189008398
28,5.435801864552461,2.2599080335627786,3.1758938309896827,6.733083241344341,1.894099639562064,4.838983601782276,5.343360264074937,0.5757974004287297,4.767562863646207
29,4.992736895969013,2.2055887711160107,2.787148124853002,6.4350064224458,2.392055473336414,4.042950949109386,5.599090733825671,0.8160369520333745,4.7830537817922965
30,4.922333002915832,1.9766194703010143,2.9457135326148176,6.5722840764775485,2.464874632611535,4.107409443866013,5.632224749160445,0.7688434945089206,4.863381254651524
31,5.37626095466841,1.9375830435418506,3.4386779111265597,6.779521072570114,2.1122796910941153,4.667241381475999,5.643426307847583,0.6208463421515555,5.0225799656960275
32,5.267614280369925,2.294597430618629,2.9730168497512954,6.737570553242822,2.0328371387971615,4.704733414445661,5.500931058861891,0.8304335480882017,4.670497510773689
33,5.4625988039024875,1.8601659705208955,3.602432833381592,6.720647635844745,1.7243847917983879,4.996262844046358,5.6987883899965475,0.6220374466381782,5.07675094335837
34,5.401910868127819,1.9066589851591154,3.495251882968704,6.766962942539001,1.8992459760186895,4.8677169665203115,5.6341139581655835,0.6202089547050157,5.013905003460568
35,4.862825106165322,1.9589286963731205,2.9038964097922015,6.348882619325583,2.814749181142922,3.5341334381826615,5.960821646972514,1.1358557088365546,4.824965938135959
36,5.43434854582558,2.1592348380920527,3.2751137077335275,6.730262293786763,1.8925235425159064,4.837738751270856,5.324074804372747,0.6062017673485528,4.7178730370241935
37,5.413239319081032,1.7695133045557079,3.643726014525324,6.619213811620856,1.9071003934865849,4.712113418134271,5.739565733528391,0.5397120149854641,5.1998537185429266
38,5.467275328571218,1.5812347438812648,3.8860405846899533,6.68262767331333,1.7317729600099792,4.95085471330335,5.735603256160336,0.4591423464851782,5.276460909675158
39,5.726739000005148,1.9953273526375939,3.7314116473675543,6.718058377452611,1.6604497968875902,5.05760858056502,5.489092196772445,0.7056761747164128,4.7834160220560324
40,5.770271172593002,2.415690956771551,3.3545802158214513,6.717437537445144,1.3856000119382912,5.331837525506852,4.881082034223982,0.6684167807819776,4.212665253442005
41,5.413847740810898,2.3857911167547847,3.028056624056113,6.482978215073461,1.9110790867872167,4.571899128286245,5.010813797640585,0.755092020982155,4.25572177665843
42,5.262711527405978,1.5662786523159955,3.6964328750899824,6.577854895238223,2.0499111561659022,4.527943739072321,5.893765981504681,0.767145426678617,5.126620554826064
43,5.471452358835602,1.7645425646791093,3.706909794156493,6.676676334542217,1.7623419696493865,4.91433436489283,5.46924341091351,0.38774114783927144,5.081502263074238
44,5.459151586131779,1.7691000801228443,3.6900515060089347,6.6207147173315875,1.8192403925191936,4.801474324812394,5.479354623508383,0.40296216913632865,5.076392454372055
45,4.963438952347628,1.7906064266017996,3.1728325257458287,6.707711264070148,2.5172146364251735,4.190496627644974,5.789448786079895,0.49935703712564417,5.29009174895425
46,5.056837732937927,1.3236475261504592,3.7331902067874676,6.605621766278318,2.1280046932208148,4.477617073057504,6.041639774390779,0.49489598874380125,5.546743785646978
47,5.243456408348646,1.508187950977035,3.7352684573716104,6.677486179986998,2.2317107369631386,4.445775443023859,6.071144068903084,0.41035126089154117,5.660792808011543
48,5.2163264508522635,2.438842525028026,2.7774839258242374,6.750433725865773,2.217404830731395,4.533028895134378,5.131391485884723,0.6505909439442744,4.480800541940449
49,5.004894074486542,2.2054651977055704,2.799428876780972,6.710631667800803,2.337354853371455,4.373276814429348,5.52360625739541,0.7070597230210727,4.816546534374337
50,5.34734037143914,2.031315220200881,3.316025151238259,6.69248596113894,2.092455968876479,4.60002999226246,5.462872088503485,0.5966182868606668,4.866253801642818
51,5.25122929607096,1.6923225994892757,3.5589066965816842,6.582764677900941,1.9771953831929896,4.605569294707951,5.708657074328801,0.7217045363636827,4.986952537965118
52,5.2370241788558705,1.9665761727707396,3.2704480060851306,6.706807925601925,2.025591746105513,4.681216179496412,5.517773999665543,0.5439060306586575,4.973867969006886
53,5.13480009507563,1.5988252772207594,3.535974817854871,6.756619373779546,2.3004559559325313,4.456163417847014,5.88209889746767,0.4140628450322865,5.468036052435384
54,4.970098212985714,1.5760864282436002,3.3940117847421134,6.623129518638235,2.43900659612993,4.184122922508305,6.027484055137382,0.6007455748256669,5.426738480311715
55,5.255249430345761,1.9134062170283188,3.341843213317442,6.657215371739799,2.2510139880076525,4.406201383732146,5.563733676024343,0.5520429720615295,5.011690703962814
56,5.049640530091535,1.435411658170888,3.6142288719206475,6.720689368639019,2.1745862218001935,4.546103146838826,5.961546712929728,0.338724607377574,5.622822105552154
57,5.156665609824447,2.168621577588989,2.9880440322354582,6.805672020723053,2.367955526241137,4.437716494481916,5.629607583726096,0.5679142647581822,5.061693318967913
58,4.669781222174883,1.8133476830691795,2.856433539105704,6.2492393943238325,2.636542920857545,3.6126964734662876,5.775422194037167,1.1987805503223297,4.5766416437148365
59,5.139275665282743,2.118315290231396,3.020960375051347,6.553347868416202,2.643587189369272,3.9097606790469297,5.699022409886586,0.6977759909634245,5.001246418923162
60,5.734926532581907,2.1897700285444173,3.54515650403749,6.575710718489394,1.6351177117966693,4.940593006692724,5.359785621159937,0.6543584059455823,4.705427215214355
61,5.288121891058051,2.3967859751726053,2.8913359158854455,6.694427435702885,2.1585914738853695,4.535835961817515,5.246513112619208,0.7749518642067943,4.471561248412414
62,5.093234828191473,1.8246227554957126,3.2686120726957606,6.6595010365874705,2.371486642766307,4.288014393821164,5.891344429590379,0.6737203193650753,5.217624110225304
63,5.2107721240360645,1.7895512661136415,3.421220857922423,6.773359126840492,2.3933617290179874,4.379997397822505,5.984072042400752,0.4843670455839742,5.499704996816777
64,5.1912515315065635,1.9776128143689828,3.213638717137581,6.749101026252157,2.3151055193808654,4.433995506871292,5.498286622578366,0.3903100489858764,5.10797657359249
65,5.426870136628625,1.8879376954040112,3.5389324412246137,6.55887427008394,2.0462315549193524,4.5126427151645885,5.750180223724414,0.7268271044696059,5.023353119254809
66,5.3650231753850255,1.9901886606840966,3.374834514700929,6.569588607233945,1.9945906964752136,4.574997910758732,5.625288104548394,0.7543230919473002,4.870965012601094
67,5.132492338642694,1.9400292356018778,3.192463103040817,6.669573908399067,2.605406050733764,4.064167857665303,5.732372000617949,0.5884974821758439,5.1438745184421055
68,5.276208964888205,1.872048023104679,3.4041609417835264,6.707650914704507,1.9571007770158135,4.750550137688693,5.528826085165849,0.43936435517155,5.089461729994299
69,5.079583548809425,1.7646701442287656,3.3149134045806594,6.682838573654297,2.207049066366315,4.475789507287981,5.759631960880317,0.5694069186223816,5.190225042257936
70,5.219195520353081,1.915249994196029,3.303945526157052,6.678255641284757,2.1886621904926176,4.489593450792139,5.668093961310805,0.46065292008338865,5.207441041227416
71,5.897342470000489,1.7897846791293335,4.107557790871156,6.618250312882194,1.2572526246940938,5.3609976881881,5.465136553056521,0.6224352685753057,4.842701284481215
72,5.392800117001684,1.6238958332632325,3.7689042837384514,6.714432116025804,2.018998052498256,4.695434063527548,5.919076429000451,0.4279510937693727,5.491125335231078
73,5.340559780069835,2.202913452686908,3.137646327382927,6.688441149664119,2.194347813547074,4.494093336117045,5.5926558124370125,0.6597344380286876,4.932921374408325
