agent,bias,bw,density,hitmiss,ngrams,reward,sample,wsize
rdn,0.0,5.0,expset,1.0,1t4,0.414589369789,210,8
rdn,0.0,5.0,expset,1.0,1t3,0.414589369749,210,8
rdn,0.0,5.0,expset,1.0,1t2,0.414589355928,210,8
rdn,0.0,4.0,expset,1.0,1t2,0.0201314375972,210,8
rdn,0.0,4.0,expset,1.0,1t3,0.020131378895900002,210,8
rdn,0.0,4.0,expset,1.0,1t4,0.0201313785805,210,8
rdn,8.0,5.0,gausset,1.0,3t4,0.0107961496206,210,8
rdn,10.0,3.0,gausset,1.0,3t4,0.010758592568600001,210,8
rdn,8.0,4.0,gausset,1.0,3t4,0.010654443876200001,210,8
rdn,10.0,2.0,gausset,1.0,3t4,0.010460808244700002,210,8
rdn,8.0,3.0,gausset,1.0,3t4,0.0104232495579,210,8
rdn,8.0,2.0,gausset,1.0,3t4,0.00997914582229,210,8
rdn,5.0,5.0,gausset,1.0,3t4,0.00994308093707,210,8
rdn,10.0,1.0,gausset,1.0,3t4,0.0096278557979,210,8
rdn,5.0,4.0,gausset,1.0,3t4,0.00961678783757,210,8
rdn,5.0,3.0,gausset,1.0,3t4,0.00910145711223,210,8
rdn,8.0,1.0,gausset,1.0,3t4,0.00878324532532,210,8
rdn,5.0,2.0,gausset,1.0,3t4,0.00816970002204,210,8
rdn,5.0,1.0,gausset,1.0,3t4,0.0060192839416999995,210,8
rdn,2.0,5.0,gausset,1.0,3t4,0.00504661278284,210,8
rdn,2.0,4.0,gausset,1.0,3t4,0.0041957506684,210,8
rdn,2.0,3.0,gausset,1.0,3t4,0.00314139934904,210,8
rdn,2.0,2.0,gausset,1.0,3t4,0.0018821765332000002,210,8
rdn,0.0,1.0,expset,1.0,3t4,0.00115409836507,210,8
rdn,2.0,1.0,gausset,1.0,3t4,0.000654859561886,210,8
rdn,0.0,1.0,gausset,1.0,3t4,8.03678508068e-05,210,8
rdn,0.0,2.0,gausset,1.0,3t4,3.22806868835e-06,210,8
rdn,0.0,3.0,gausset,1.0,3t4,3.7597884499699997e-07,210,8
rdn,0.0,4.0,gausset,1.0,3t4,8.76155754748e-08,210,8
rdn,2.0,2.0,expset,1.0,1t4,7.24771325151e-08,210,8
rdn,2.0,2.0,expset,1.0,1t3,7.24769569832e-08,210,8
rdn,2.0,2.0,expset,1.0,1t2,7.24615011012e-08,210,8
rdn,2.0,1.0,expset,1.0,1t4,4.58542736992e-08,210,8
rdn,2.0,1.0,expset,1.0,1t3,4.58472408041e-08,210,8
rdn,2.0,1.0,expset,1.0,1t2,4.5030551402e-08,210,8
rdn,2.0,3.0,expset,1.0,1t4,3.87519973797e-08,210,8
rdn,2.0,3.0,expset,1.0,1t3,3.87519922137e-08,210,8
rdn,2.0,3.0,expset,1.0,1t2,3.8751353019599996e-08,210,8
rdn,0.0,5.0,gausset,1.0,3t4,2.93400783898e-08,210,8
rdn,2.0,4.0,expset,1.0,1t4,1.5422698661000003e-08,210,8
rdn,2.0,4.0,expset,1.0,1t3,1.54226985558e-08,210,8
rdn,2.0,4.0,expset,1.0,1t2,1.54226644676e-08,210,8
