Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BApvalue,BCpvalue,CBpvalue,ACpvalue,CApvalue
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,2.7659960859582767e-71,3.8889551347771173e-07,3.8889551347771173e-07,1.6422086122213307e-05,1.6422086122213307e-05,2.8295014095894004e-08,2.8295014095894004e-08
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,2.2576983836869918e-32,8.139624759161316e-07,8.139624759161316e-07,3.1600414223384486e-12,3.1600414223384486e-12,2.2373461894680866e-12,2.2373461894680866e-12
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,1.8463266462555497e-64,1.732108002221622e-08,1.732108002221622e-08,3.753911591421949e-07,3.753911591421949e-07,1.6843540113789162e-09,1.6843540113789162e-09
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,0.04710063859773677,0.30657213052183074,0.30657213052183074,7.174032815057304e-05,7.174032815057304e-05,5.686238529801648e-05,5.686238529801648e-05
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,0.15013798918153032,6.860538815487829e+16,6.860538815487829e+16,1.3421778124901598e+17,1.3421778124901598e+17,1504784588656536.2,1504784588656536.2
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,1.7902071423419606e-10,0.5123614293883877,0.5123614293883877,0.4914682629672926,0.4914682629672926,0.4373448453752513,0.4373448453752513
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,0.18342927728144504,2.6401540765307834e+17,2.6401540765307834e+17,5.890821479226216e+17,5.890821479226216e+17,2.0432904029485012e+16,2.0432904029485012e+16
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,1.134090125634391e-120,0.004431558441560395,0.004431558441560395,0.03783228808306003,0.03783228808306003,0.0001709520618062376,0.0001709520618062376
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,3.6298276237691505e-07,9.413486103665885e-05,9.413486103665885e-05,0.0001018265875437196,0.0001018265875437196,7.698039026906336e-07,7.698039026906336e-07
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,2.4894958183375846e-151,0.04524295232013137,0.04524295232013137,8.725358094320617e-07,8.725358094320617e-07,7.534765495910406e-07,7.534765495910406e-07
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,0.002899882154235441,3.014721822349799e+156,3.014721822349799e+156,3.576640436039766e+156,3.576640436039766e+156,2.314467642021253e+156,2.314467642021253e+156
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,5.795014211120677e-06,0.00017301258945091064,0.00017301258945091064,0.0002286456948348276,0.0002286456948348276,3.0398891977953394e-06,3.0398891977953394e-06
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,2.9201153485760364e-43,2.8193004058726454e-09,2.8193004058726454e-09,7.671810370951448e-08,7.671810370951448e-08,2.222113613228698e-10,2.222113613228698e-10
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,1.4391597059628102e-07,1.9693791553771207e-07,1.9693791553771207e-07,1.549585742495944e-07,1.549585742495944e-07,2.8450063490853603e-09,2.8450063490853603e-09
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,0.00018773117813384137,8475360855.402071,8475360855.402071,7381303223.745037,7381303223.745037,6797188269.317712,6797188269.317712
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,6.8297567851725e-44,8.740970094937322e-07,8.740970094937322e-07,3.730156657282389e-05,3.730156657282389e-05,4.3366914133774924e-08,4.3366914133774924e-08
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,0.10305196077999319,5.28997645949926e+127,5.28997645949926e+127,1.4156726262290039e+128,1.4156726262290039e+128,2.427888427961825e+126,2.427888427961825e+126
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,1.8392314902940067e-48,6.29602851967733e-09,6.29602851967733e-09,2.564301024985278e-07,2.564301024985278e-07,3.245226705627242e-10,3.245226705627242e-10
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,0.010413882908161597,0.00177443298299057,0.00177443298299057,0.00025755700606827436,0.00025755700606827436,0.0002501776679114499,0.0002501776679114499
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,gausset,2t3,0.25201534792734465,8.971350484269025e+127,8.971350484269025e+127,1.2995846219609211e+128,1.2995846219609211e+128,1.1083720239717327e+127,1.1083720239717327e+127
52,HX_HY_HZ,8,oie,4.4,0.6,5.0,gausset,3t4,0.154408474082286,1.0878791022733494e+39,1.0878791022733494e+39,1.4792147145142678e+40,1.4792147145142678e+40,2.2618571228279777e+38,2.2618571228279777e+38
52,HX_HY_HZ,8,oie,4.4,0.2,1.0,expset,3t4,3.542671852457448e-219,0.00016730204834355434,0.00016730204834355434,0.00032669469449244694,0.00032669469449244694,3.4527222671999976e-05,3.4527222671999976e-05
52,HX_HY_HZ,8,oie,3.3,1.0,1.0,gausset,1t4,0.07302847337163142,734.7467765054297,734.7467765054297,1584.165496970614,1584.165496970614,13.999970145914709,13.999970145914709
52,HX_HY_HZ,8,rdn,3.3,0.3,1.0,gausset,2t3,0.0003756740618318767,7376.647665735534,7376.647665735534,8018.702121132052,8018.702121132052,7356.170741858996,7356.170741858996
52,HX_HY_HZ,8,oie,3.3,0.2,5.0,expset,2t3,1.3854440819831487e-36,3.3005946570272493e-06,3.3005946570272493e-06,9.446497497927113e-05,9.446497497927113e-05,2.4404210090090387e-07,2.4404210090090387e-07
52,HX_HY_HZ,8,oie,0.0,0.8,1.0,gausset,3t4,0.0009296284180115648,0.0018703306022053061,0.0018703306022053061,0.2534864378669492,0.2534864378669492,0.0007499950989770034,0.0007499950989770034
52,HX_HY_HZ,8,oie,7.8,0.5,5.0,gausset,1t4,0.18596392699433603,6.440793166593321e+127,6.440793166593321e+127,9.299704947969792e+127,9.299704947969792e+127,1.2314713154030154e+126,1.2314713154030154e+126
52,HX_HY_HZ,8,rdn,3.3,0.3,2.3,gausset,1t4,0.0009087446904538898,6079123264.2134695,6079123264.2134695,6526436831.822698,6526436831.822698,6048307200.872981,6048307200.872981
52,HX_HY_HZ,8,oie,2.2,0.3,2.3,expset,2t3,3.9366937630060926e-36,2.718006959421106e-05,2.718006959421106e-05,0.0010136810890866317,0.0010136810890866317,2.014036684275544e-06,2.014036684275544e-06
