Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,CApvalue,pReward
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,0.0,3.074599722971552e-08,0.00022309514767451027,1.825410239336777e-05,0.0
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,6.902987096525622e-07,6.135741919275391e+41,6.2179316140044095e+41,5.56553511539603e+41,0.0
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,8.942058389634738e-07,2.442596030524696e+22,2.4464133243366367e+22,2.2077144798638813e+22,0.0
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,5.3185789825300616e-08,0.031279736897845994,4.4938976393652e-06,6.97883268328204e-18,0.0
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,0.20554380341097772,0.9052150357015174,3.961534065666298,1.0202972133952095,0.0
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,3.0796664167903544e-11,2.8901368036903663e+59,2.926774891374033e+59,2.3253584813053227e+59,0.0
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,0.07983237166778137,121169030896335.02,6.151476856136792e+17,1.3721999293947664e+17,0.0
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,1.1728456077185613e-35,5.233096571155207e-07,1.707570873438994e-12,6.078555838721387e-15,1.8747802026750452e-23
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,5.209644914743388e-09,9.9911187704833e+40,1.0035246226760608e+41,6.952650208989827e+40,0.0
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,4.947700848574075e-09,7.531425886334361e+41,7.570765278463764e+41,5.25570760237906e+41,0.0
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,3.7430884755088494e-11,11252261758.913927,13313129826.671835,10276515507.00244,0.0
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,0.10897312663824603,8.729991448196435e+116,4.513751090311095e+122,8.062053193743013e+121,0.0
52,HX_HY_HZ,8,rdn,10.0,0.7,1.0,gausset,1t4,5.154915372221678e-11,7.041211934043337e+41,8.434183227470265e+41,6.5172467457162226e+41,0.0
52,HX_HY_HZ,8,oie,1.1,1.0,3.7,expset,2t3,8.654859762850038e-32,9.260027913965326e-07,0.0023198030364493375,4.4754097878523925e-06,0.0
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,gausset,1t4,0.001176465230950929,0.0035555548539298047,0.1248721384853932,0.004649324574945655,0.0
52,HX_HY_HZ,8,oie,4.4,1.0,5.0,gausset,2t4,0.12217123780639308,5.221424165434239e+32,1.2030669013932388e+40,2.203736833834771e+39,0.0
52,HX_HY_HZ,8,oie,6.7,0.1,3.7,expset,2t4,8.40380670521998e-37,3.015258705972864e-08,2.8534007776546585e-06,2.268958383918725e-08,1.1977846981399986e-124
52,HX_HY_HZ,8,oie,8.9,0.6,1.0,gausset,1t3,0.15792119579208402,2.0163898654379674e+26,7.7821884664089375e+31,1.6197112835737866e+31,0.0
52,HX_HY_HZ,8,rdn,5.6,0.1,2.3,expset,1t3,0.0017619066937561182,3.8079928951517705e-05,2.467885053618063e-06,0.0,0.0
52,HX_HY_HZ,8,rdn,5.6,0.8,5.0,expset,3t4,1.0766762307427133e-234,1.9363082403363454e-05,6.024218372629258e-10,5.461130118761345e-08,0.0
52,HX_HY_HZ,8,oie,10.0,0.9,5.0,expset,1t2,2.4051042333638916e-07,2.865555553220098e-08,2.253954456945161e-08,4.8488815552689056e-11,0.05695148276203329
52,HX_HY_HZ,8,rdn,5.6,1.0,3.7,expset,1t2,0.0022448045907190193,2.5639339472759534e-05,1.8755266453803939e-06,0.0,0.0
52,HX_HY_HZ,8,rdn,4.4,0.9,3.7,expset,1t2,0.0033204094285839607,9.545002284818179e-05,8.435754506575046e-06,0.0,0.0
52,HX_HY_HZ,8,oie,2.2,0.2,5.0,gausset,2t4,0.24624037199740811,16723230.336982628,344969261.38941133,82625065.81870997,0.0
52,HX_HY_HZ,8,rdn,8.9,0.5,5.0,expset,3t4,8.76147054806425e-233,4.7192868130351747e-07,3.620353419163172e-11,2.0147831335819655e-09,3.1944624375742355e-21
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t4,0.001909636189463081,0.00014419660227010174,9.972766313654765e-06,0.0,0.0
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,gausset,1t3,0.18217245483782096,4.1213822657964226e+119,3.313535196057705e+122,7.699201336763888e+121,0.0
52,HX_HY_HZ,8,oie,6.7,0.7,3.7,gausset,2t4,0.08924500628622466,1.0428494376898677e+64,8.155493050715985e+67,1.8523101840426866e+67,0.0
52,HX_HY_HZ,8,oie,5.6,0.8,2.3,expset,2t4,3.807368448018717e-48,3.354163199455386e-09,1.8160118538937142e-05,5.996396288038234e-08,0.0
52,HX_HY_HZ,8,oie,2.2,0.8,3.7,gausset,3t4,0.11195497563347177,4.108982621604529e-10,839357.9124117629,81783.74517101931,0.0
52,HX_HY_HZ,8,oie,6.7,0.4,3.7,expset,1t3,2.5164567386209174e-07,1.6140127967593394e-06,1.301035242608226e-06,2.6927364495327547e-09,8.02259492792741e-71
52,HX_HY_HZ,8,oie,3.3,0.4,3.7,gausset,1t4,0.2211808496966853,10267100016.396208,1805712299594802.0,407619383498554.4,0.0
52,HX_HY_HZ,8,rdn,3.3,0.6,5.0,gausset,1t4,4.547757259285333e-09,2.9942423513258023e+22,3.0037229744582333e+22,2.0877435277920776e+22,0.0
52,HX_HY_HZ,8,oie,10.0,0.6,5.0,gausset,1t3,,,,,
52,HX_HY_HZ,8,rdn,3.3,0.7,3.7,expset,1t2,0.004664509496975056,0.0003768255773667041,3.9295018546643756e-05,0.0,0.0
52,HX_HY_HZ,8,oie,7.8,1.0,2.3,expset,1t3,2.1194067773520198e-08,6.40869811377284e-07,4.783387866190062e-07,4.3405473480551434e-10,1.4702044402268658e-28
52,HX_HY_HZ,8,oie,0.0,0.4,5.0,expset,1t2,0.00955709664563934,0.00673236496545437,0.012002167194742052,8.963968807888716e-07,0.0
52,HX_HY_HZ,8,oie,3.3,0.7,3.7,expset,1t2,2.4275532194028667e-06,8.401205732903946e-05,7.30140402650938e-05,7.957917793881658e-08,0.0
52,HX_HY_HZ,8,rdn,1.1,0.8,3.7,expset,1t4,0.05493492720486042,0.008902824443574703,0.0032271059330690258,0.0,0.0
52,HX_HY_HZ,8,rdn,8.9,0.1,1.0,gausset,1t4,0.013404408132977835,2.6570926417221223e+32,2.5706976832227936e+32,2.9656730967244503e+32,0.0
52,HX_HY_HZ,8,oie,2.2,0.5,2.3,expset,1t2,4.298261597028858e-06,0.0005405886596378078,0.0005510525783996739,1.5313086770435664e-07,0.0
52,HX_HY_HZ,8,rdn,8.9,0.4,3.7,gausset,2t4,0.00020908736905262066,3.4716250801844925e+123,2.1111766719935215e+123,1.9115373189649508e+123,0.0
52,HX_HY_HZ,8,rdn,5.6,0.9,1.0,gausset,1t4,2.0692542153358026e-09,2579120028215.792,2151805870888.172,2398600799027.9946,0.0
52,HX_HY_HZ,8,rdn,0.0,0.7,3.7,expset,1t4,0.4421131994645842,3.2136601238878194e-40,0.10296220151404195,0.012298470629577094,0.0
52,HX_HY_HZ,8,oie,8.9,0.4,5.0,gausset,1t3,,,,,
52,HX_HY_HZ,8,rdn,0.0,0.2,2.3,expset,2t4,3.35859402299773e-08,0.03059812396473832,8.863278466875462e-06,8.754580689635069e-16,0.0
52,HX_HY_HZ,8,oie,6.7,0.5,3.7,expset,2t4,3.7274435985022633e-45,1.3130578004996937e-09,3.0233306186004505e-06,9.58979115931765e-09,4.9936665283512486e-132
52,HX_HY_HZ,8,oie,6.7,1.0,5.0,gausset,2t4,0.13084217946310928,1.0851960903749975e+86,2.212850792327457e+93,4.0662138560359e+92,0.0
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,expset,1t2,0.010867565689343491,0.006557253235277253,0.011973911491426088,3.7187722067584816e-07,0.0
52,HX_HY_HZ,8,rdn,6.7,0.6,2.3,gausset,2t4,5.034175128408765e-09,1.9373057335656231e+43,1.95087097760237e+43,1.347880715203148e+43,0.0
52,HX_HY_HZ,8,rdn,2.2,0.5,3.7,expset,1t4,0.009380749278760425,0.001651501036279023,0.00024072628629039615,0.0,0.0
52,HX_HY_HZ,8,oie,4.4,0.3,1.0,gausset,3t4,0.17276557766885878,0.00027260138445359567,6962131.742344465,740001.6395256207,0.0
52,HX_HY_HZ,8,oie,3.3,1.0,2.3,expset,2t3,2.400007276402469e-43,6.80276066260186e-08,0.00025161109557871524,6.918724171501488e-07,0.0
52,HX_HY_HZ,8,rdn,2.2,0.4,1.0,expset,3t4,1.2249562414523558e-233,0.00852235632345571,8.394171627613743e-07,4.000026229516716e-05,0.0
52,HX_HY_HZ,8,rdn,0.0,0.4,5.0,expset,1t2,0.14791472839752628,0.04321260148304303,0.04304577566492334,1.0878876997145017e-59,0.0
52,HX_HY_HZ,8,rdn,8.9,0.5,1.0,expset,1t4,6.9571774822256965e-06,1.9570788427835105e-06,1.5288642048151335e-08,2.7867585041089876e-108,1.0119190991747205e-85
52,HX_HY_HZ,8,oie,4.4,1.0,3.7,expset,2t3,1.1677026734856468e-43,1.3622398860465397e-08,3.787043433752932e-05,9.951996200361928e-08,0.0
52,HX_HY_HZ,8,rdn,4.4,0.6,1.0,expset,1t3,7.794356119519988e-05,0.00036202034342408643,6.213394924330167e-06,1.0580062154850723e-174,0.0
52,HX_HY_HZ,8,oie,5.6,0.4,3.7,gausset,2t4,0.2119163346665875,1.5091979338108036e+40,2.0800627420586198e+46,4.327333645651408e+45,0.0
52,HX_HY_HZ,8,oie,5.6,0.2,1.0,gausset,2t3,0.23013902360189842,13751916054.603952,299522255631.6408,71929189959.56628,0.0
52,HX_HY_HZ,8,rdn,2.2,0.9,1.0,gausset,2t3,4.478220667957823e-10,57.06969185806659,48.50547143099527,54.63583376539117,0.0
52,HX_HY_HZ,8,rdn,8.9,0.4,2.3,gausset,2t3,0.00022206371019867173,1.2020784198822065e+78,7.253073480799691e+77,6.632710958894951e+77,0.0
52,HX_HY_HZ,8,oie,0.0,0.2,2.3,expset,2t4,2.2562372148858647e-13,6.625699068524406e-05,0.024866741852953476,4.170358706416004e-05,0.0
52,HX_HY_HZ,8,rdn,7.8,0.9,2.3,gausset,1t2,3.0733724109929917e-09,3.184565705493175e+59,2.644574623367948e+59,2.941354566914747e+59,0.0
52,HX_HY_HZ,8,rdn,0.0,0.8,3.7,gausset,3t4,4.221107282421777e-10,0.32673910944391094,0.49258508106261556,0.3220587777735955,0.0
52,HX_HY_HZ,8,oie,3.3,0.5,2.3,expset,1t3,4.594647250899516e-07,0.00012583145931163768,0.00010889298286503511,4.854740384730388e-08,0.0
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,gausset,1t4,0.0002593721798893149,0.6422818614410529,0.5726465902779239,0.46918625449184387,0.0
52,HX_HY_HZ,8,oie,0.0,0.5,2.3,expset,1t2,1.0776355760629482e-07,0.03502784349625314,0.2306564050177739,0.011480169418598283,0.0
52,HX_HY_HZ,8,rdn,2.2,0.9,5.0,expset,2t3,2.753770991916908e-26,0.0004550917871449358,4.167156071167124e-09,1.0045232159448092e-13,0.0
52,HX_HY_HZ,8,oie,10.0,0.8,5.0,gausset,2t3,,,,,
52,HX_HY_HZ,8,oie,10.0,0.2,2.3,gausset,2t4,0.2598578057624628,9.888123516944785e+96,2.2676316604986657e+98,5.635180834748181e+97,0.0
52,HX_HY_HZ,8,rdn,1.1,0.4,3.7,gausset,1t2,0.00011987837445687495,21.075831950082605,12.386384923236742,11.213736433554708,0.0
52,HX_HY_HZ,8,oie,1.1,0.4,1.0,gausset,1t4,0.06466299467193208,6.64045911712776e-06,0.33091913474229445,0.036563105022159294,0.0
52,HX_HY_HZ,8,oie,1.1,0.5,5.0,expset,1t4,3.618411974926965e-05,0.0010432767076498297,0.0012350227330971087,4.3898072187593694e-07,0.0
52,HX_HY_HZ,8,rdn,5.6,0.7,3.7,expset,1t2,0.0022088112928159618,2.5279229917159726e-05,1.8562487993737275e-06,0.0,0.0
52,HX_HY_HZ,8,oie,10.0,0.4,2.3,gausset,2t4,0.22294356215581027,3.35732454081164e+92,1.9142340160735637e+98,3.950920878378402e+97,0.0
52,HX_HY_HZ,8,oie,5.6,0.1,1.0,gausset,2t3,0.2156514642876444,63872600630.00382,369684001094.4323,97967768019.8545,0.0
52,HX_HY_HZ,8,oie,1.1,0.8,5.0,expset,1t2,4.949948970800061e-05,0.0010833893044812771,0.0011870142036969386,5.274182973510068e-07,0.0
52,HX_HY_HZ,8,rdn,8.9,0.8,5.0,gausset,2t4,,,,,
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,expset,2t3,8.187761926923948e-40,3.796998711636956e-08,7.18276341105113e-06,3.545170174756642e-08,1.139065180643e-312
52,HX_HY_HZ,8,oie,8.9,0.4,2.3,gausset,2t3,0.2188694670903054,1.316332090575728e+71,1.3280690881596567e+77,2.6985139857023634e+76,0.0
52,HX_HY_HZ,8,rdn,6.7,0.1,2.3,expset,3t4,7.589464777444156e-194,1.091620591343241e-05,6.969394308121729e-09,2.0433081979565782e-07,0.0
52,HX_HY_HZ,8,oie,5.6,0.2,2.3,expset,2t4,5.6517361210905724e-43,7.962365621098541e-08,1.785321082390083e-05,1.0485312642044383e-07,0.0
52,HX_HY_HZ,8,oie,5.6,0.1,3.7,gausset,1t3,0.2241956644926705,5.948466966567272e+45,3.0283300464535777e+46,8.477953416949696e+45,0.0
52,HX_HY_HZ,8,rdn,0.0,0.9,5.0,gausset,1t2,6.922884011909383e-12,0.5481948966509381,0.4891594347554137,0.5654861114786521,0.0
52,HX_HY_HZ,8,oie,6.7,0.6,3.7,expset,1t4,2.407752948805741e-07,1.5741786247308093e-06,1.2713859396948355e-06,2.40495224937032e-09,4.3081515762607856e-69
52,HX_HY_HZ,8,oie,4.4,0.6,3.7,gausset,1t3,0.15442090139696768,1.591909704005674e+23,6.240565532466128e+28,1.2918333105106216e+28,0.0
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t4,1.764667430538233e-32,7.544964941719331e-07,3.0335424869325168e-12,1.672652106571798e-15,1.7085732262338798e-33
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,gausset,1t4,0.2717594764087521,6.416246872683091e+62,1.0871895861652718e+64,2.8156468137731213e+63,0.0
52,HX_HY_HZ,8,rdn,7.8,0.7,1.0,gausset,3t4,0.00012045613018386445,7.02311566249619e+24,5.100759139545072e+24,4.935696839711923e+24,0.0
52,HX_HY_HZ,8,oie,7.8,0.3,5.0,expset,1t4,3.380284696709531e-07,3.6182424624932684e-07,2.713543463538173e-07,8.530150831039555e-10,1.9327364780520675e-16
52,HX_HY_HZ,8,oie,2.2,0.3,5.0,expset,1t3,3.6612683640116404e-06,0.0002528744652195188,0.00022523460979945487,3.696744670884166e-07,0.0
52,HX_HY_HZ,8,rdn,4.4,0.3,2.3,gausset,1t4,0.00041408971281653347,2.6040082606575027e+18,2.361364749951431e+18,1.9876729865056297e+18,0.0
52,HX_HY_HZ,8,rdn,0.0,0.5,1.0,expset,1t3,3.3997607830582585e-05,9.718877032812732e-22,0.17604617438037254,5.264821871512587e-09,0.0
52,HX_HY_HZ,8,rdn,10.0,0.7,5.0,expset,2t4,6.122209980902728e-33,6.611542449254972e-08,2.799309620827614e-13,3.571247715872124e-16,0.0013447563305007647
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,2t4,9.126501492468521e-14,1.3913799274820585e-05,0.02400003526498065,2.604699351495661e-05,0.0
52,HX_HY_HZ,8,oie,0.0,0.8,2.3,gausset,2t3,0.0002458849947527075,3.179152703387424e-05,0.22033010588265906,0.0061762719548438165,0.0
52,HX_HY_HZ,8,rdn,8.9,0.9,5.0,expset,3t4,8.542531856078617e-255,4.718199380187058e-07,1.2004265133110994e-11,1.3917856558884836e-09,3.229389632153867e-21
52,HX_HY_HZ,8,rdn,4.4,0.8,2.3,gausset,2t4,2.8048403890646302e-11,4.088132768325926e+18,4.5108508671919027e+18,4.2810447234973353e+18,0.0
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t3,0.0018282541912686702,0.00014381740833147833,9.675023392606465e-06,0.0,0.0
52,HX_HY_HZ,8,oie,6.7,0.8,1.0,expset,2t4,6.325662029698717e-70,1.0235583246927653e-09,1.5772587893765977e-05,8.41249578132739e-08,0.0
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,gausset,3t4,0.0006327600208364131,9.971626955266555e-12,0.2220837233969998,0.002065442528119311,0.0
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,1t2,0.10699538382662435,3.44199453261957e+120,1.2739745420933297e+128,2.650884676330853e+127,0.0
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,expset,3t4,6.4458494201647015e-189,3.236873315103061e-07,1.0043109282794746e-06,1.6294718977909488e-07,2.417300118352523e-44
52,HX_HY_HZ,8,rdn,7.8,0.4,2.3,gausset,2t3,0.0001779469154953578,2.6802932388409115e+59,1.6482011925935735e+59,1.4857138582893051e+59,0.0
52,HX_HY_HZ,8,oie,3.3,0.9,5.0,gausset,2t3,0.09062475744923644,52411184135239.28,4.436047627321056e+21,7.91832735574992e+20,0.0
52,HX_HY_HZ,8,oie,7.8,0.7,5.0,expset,1t2,4.836717920346336e-07,3.4091960803098173e-07,2.7075673912198794e-07,5.940769047233447e-10,1.5633259825923504e-15
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,gausset,2t3,0.13260693791569078,622.2733843269164,313857822.7418675,55207566.082228854,0.0
52,HX_HY_HZ,8,rdn,6.7,0.2,1.0,expset,3t4,0.0,3.864927566872794e-05,3.3084282230084177e-09,2.8307686995483297e-07,0.0
52,HX_HY_HZ,8,oie,3.3,0.1,1.0,gausset,2t4,0.20387201181639505,482.7111924953298,2493.269400985669,675.40609094802,0.0
52,HX_HY_HZ,8,rdn,8.9,0.7,3.7,expset,1t3,0.0014219634168515158,5.735790807256511e-07,3.440034641257571e-08,0.0,1.2296373054541304e-25
52,HX_HY_HZ,8,oie,10.0,0.1,5.0,gausset,2t4,,,,,
52,HX_HY_HZ,8,oie,3.3,0.8,1.0,expset,2t3,8.8362673421281e-58,5.315919608641465e-08,0.0008306668955918447,3.727544116971976e-06,0.0
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,expset,1t3,1.8253611237711447e-07,1.3123424078215255e-07,1.0607373740754088e-07,1.7905117235824964e-10,1.9978797230666706e-06
52,HX_HY_HZ,8,oie,6.7,0.6,2.3,expset,2t4,6.7325287699374635e-50,8.992292259633263e-10,5.262839324423673e-06,2.2229470727150456e-08,2.7402628686703824e-229
52,HX_HY_HZ,8,oie,3.3,0.8,1.0,gausset,1t4,0.06374754455196391,0.034100697738380335,1782.4074499774383,290.59496708428014,0.0
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,gausset,2t3,0.0010621620800993306,0.0013229056087537298,0.15031087140465368,0.005813444359040873,0.0
52,HX_HY_HZ,8,rdn,0.0,0.1,3.7,expset,2t4,2.0549924632465873e-13,0.01408220461578677,4.766218545322376e-06,1.8117534969966853e-12,0.0
52,HX_HY_HZ,8,oie,10.0,0.1,5.0,gausset,2t3,,,,,
52,HX_HY_HZ,8,oie,8.9,0.9,1.0,gausset,2t4,0.09649526472605872,1.2701227107109443e+24,1.0638006192342816e+32,1.9849792999648287e+31,0.0
52,HX_HY_HZ,8,rdn,1.1,0.3,3.7,expset,3t4,1.953904544097508e-143,0.005416745158309966,9.211916599580695e-07,2.801090535772538e-05,0.0
52,HX_HY_HZ,8,rdn,4.4,0.6,1.0,gausset,1t2,3.1539649165548355e-09,47693130.44210114,47696353.741368026,33089312.02283845,0.0
52,HX_HY_HZ,8,oie,2.2,0.2,2.3,gausset,3t4,0.14767487072218563,0.0003164687002848816,2071.4543684244904,264.46347091648823,0.0
52,HX_HY_HZ,8,oie,8.9,1.0,2.3,expset,1t2,1.5360748874073194e-08,1.8727350663990943e-07,1.352214029231877e-07,1.2929686315014425e-10,7.3589346450922e-09
52,HX_HY_HZ,8,rdn,2.2,0.8,3.7,expset,3t4,4.00187431637513e-194,0.0013885874845826211,4.815683048946201e-08,3.610886453357452e-06,0.0
52,HX_HY_HZ,8,rdn,10.0,0.1,5.0,gausset,2t4,,,,,
52,HX_HY_HZ,8,oie,5.6,1.0,1.0,gausset,1t4,0.10692307401000042,74847.73182268345,238264462485.51614,45880160000.36437,0.0
52,HX_HY_HZ,8,oie,6.7,0.9,3.7,gausset,1t3,0.10497766140126118,2.0953536711340375e+60,7.09641458054598e+67,1.4841213806540387e+67,0.0
52,HX_HY_HZ,8,rdn,2.2,0.4,3.7,gausset,1t2,0.00018553163105309548,5520608.921355149,3311153.3912375635,3027604.1754569425,0.0
