H_X,H_XgY,H_XgZ,H_Y,H_YgX,H_YgZ,H_Z,H_ZgX,H_ZgY,I_XY,I_XZ,I_YX,I_YZ,I_ZX,I_ZY
7.336813414717695,7.336813414717713,7.336813414717709,7.493781667446279,7.493781667446286,7.493781667446284,7.82178944569234,7.821789445692333,7.8217894456923425,-1.7763568394002505e-14,-1.4210854715202004e-14,-7.105427357601002e-15,-5.329070518200751e-15,7.105427357601002e-15,-2.6645352591003757e-15
7.269795858839997,7.269795858839998,7.269795858839995,7.198059631118297,7.198059631118304,7.198059631118306,7.820738094114644,7.820738094114645,7.820738094114642,-8.881784197001252e-16,1.7763568394002505e-15,-7.105427357601002e-15,-8.881784197001252e-15,-1.7763568394002505e-15,1.7763568394002505e-15
7.139087488666631,7.139087488666623,7.139087488666622,7.137836773042274,7.137836773042266,7.137836773042273,7.8874890058221965,7.887489005822194,7.887489005822196,7.993605777301127e-15,8.881784197001252e-15,7.993605777301127e-15,8.881784197001252e-16,2.6645352591003757e-15,8.881784197001252e-16
7.284842552695436,7.2848425526954195,7.28484255269543,7.217593581145106,7.217593581145097,7.217593581145093,7.9402214321533675,7.940221432153365,7.9402214321533675,1.687538997430238e-14,6.217248937900877e-15,8.881784197001252e-15,1.3322676295501878e-14,2.6645352591003757e-15,0.0
7.326951481253462,7.326951481253474,7.326951481253461,7.209366160672805,7.209366160672801,7.209366160672815,7.867721380076263,7.8677213800762695,7.867721380076275,-1.1546319456101628e-14,8.881784197001252e-16,4.440892098500626e-15,-9.769962616701378e-15,-6.217248937900877e-15,-1.1546319456101628e-14
7.31008148122856,7.310081481228561,7.31008148122856,7.31577208335025,7.315772083350247,7.31577208335024,7.848252248277693,7.848252248277697,7.848252248277696,-8.881784197001252e-16,0.0,3.552713678800501e-15,9.769962616701378e-15,-3.552713678800501e-15,-2.6645352591003757e-15
7.412290161018158,7.412290161018156,7.41229016101816,7.186760022014857,7.186760022014858,7.186760022014844,7.853869340445068,7.853869340445074,7.853869340445078,2.6645352591003757e-15,-1.7763568394002505e-15,-8.881784197001252e-16,1.3322676295501878e-14,-6.217248937900877e-15,-9.769962616701378e-15
7.499996098354723,7.499996098354715,7.499996098354714,7.087473050248376,7.08747305024838,7.08747305024838,7.801400645438402,7.801400645438422,7.801400645438422,7.993605777301127e-15,8.881784197001252e-15,-3.552713678800501e-15,-3.552713678800501e-15,-1.9539925233402755e-14,-1.9539925233402755e-14
7.202832656819213,7.202832656819213,7.202832656819216,7.224617798855638,7.224617798855633,7.224617798855632,7.881277655786511,7.881277655786509,7.881277655786515,0.0,-2.6645352591003757e-15,5.329070518200751e-15,6.217248937900877e-15,1.7763568394002505e-15,-3.552713678800501e-15
7.168314410792246,7.168314410792254,7.16831441079225,7.279802646096391,7.279802646096394,7.279802646096389,7.832173277288287,7.832173277288284,7.832173277288284,-7.993605777301127e-15,-3.552713678800501e-15,-3.552713678800501e-15,1.7763568394002505e-15,2.6645352591003757e-15,2.6645352591003757e-15
7.24345739190368,7.243457391903676,7.243457391903657,7.3229182010332945,7.3229182010333105,7.322918201033282,7.850150249974716,7.850150249974739,7.850150249974728,4.440892098500626e-15,2.3092638912203256e-14,-1.5987211554602254e-14,1.2434497875801753e-14,-2.3092638912203256e-14,-1.2434497875801753e-14
7.285882735262606,7.285882735262598,7.285882735262595,7.114896351626897,7.114896351626901,7.1148963516269,7.866140821834655,7.8661408218346525,7.866140821834653,7.993605777301127e-15,1.1546319456101628e-14,-3.552713678800501e-15,-2.6645352591003757e-15,2.6645352591003757e-15,1.7763568394002505e-15
7.322192785083645,7.322192785083648,7.322192785083644,7.231112334099291,7.231112334099283,7.231112334099282,7.842811237047065,7.842811237047066,7.842811237047064,-3.552713678800501e-15,8.881784197001252e-16,7.993605777301127e-15,8.881784197001252e-15,-8.881784197001252e-16,8.881784197001252e-16
7.326859905200524,7.326859905200525,7.3268599052005206,7.248268813680383,7.248268813680384,7.248268813680373,7.774364097709812,7.774364097709803,7.774364097709815,-8.881784197001252e-16,3.552713678800501e-15,-8.881784197001252e-16,9.769962616701378e-15,8.881784197001252e-15,-2.6645352591003757e-15
7.353161235374801,7.353161235374773,7.35316123537478,7.376112623774595,7.376112623774614,7.3761126237746115,7.8920264213144025,7.892026421314415,7.892026421314389,2.7533531010703882e-14,2.042810365310288e-14,-1.9539925233402755e-14,-1.687538997430238e-14,-1.2434497875801753e-14,1.3322676295501878e-14
7.079768969159555,7.079768969159555,7.079768969159553,7.359026263078709,7.359026263078703,7.3590262630787056,7.840606461987809,7.840606461987801,7.840606461987808,0.0,1.7763568394002505e-15,6.217248937900877e-15,3.552713678800501e-15,7.993605777301127e-15,8.881784197001252e-16
7.237083428640445,7.237083428640446,7.237083428640453,7.267290131400336,7.267290131400341,7.2672901314003475,7.821186787790179,7.821186787790196,7.821186787790203,-8.881784197001252e-16,-7.993605777301127e-15,-5.329070518200751e-15,-1.1546319456101628e-14,-1.687538997430238e-14,-2.398081733190338e-14
