Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,CApvalue,pReward
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,0.0,9.741921327543606e-10,1.6422086122213307e-05,1.0109557582353337e-07,1.2135525968757057
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,0.0,7.541807828946433e-07,3.1600414223384756e-12,1.5946076124568246e-15,2.527816023159287
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,0.0,1.997153893547641e-09,3.7539115914219497e-07,4.424548876322257e-09,2.619953952475332
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,0.0,0.29654983761798426,7.174032815057353e-05,0.0010524082470173587,1.0
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,0.0,330074936329.74347,1.3421778124901594e+17,2.6270507994701484e+16,1.0
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,0.0,0.5416353714328197,0.49146826296729196,0.3619960830090245,1.0
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,0.0,523118707018032.5,5.890821479226216e+17,1.0038926442471968e+17,1.0
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,0.0,8.423375933405293e-06,0.037832288083060016,0.002511968797568956,1.0
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,0.0,0.00012773921741174142,0.0001018265875437196,6.159496444874567e-08,1.0000028337197098
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,0.0,0.043554424658689084,8.725358094320617e-07,0.00012811163994251115,1.0
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,0.0,3.1195183325029528e+156,3.576640436039766e+156,2.3125080238576693e+156,1.0
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,0.0,0.00022852206905246822,0.00022864569483482754,2.3502658787762297e-07,1.0000000001175016
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,0.0,1.93348123671945e-10,7.671810370951446e-08,4.657451965185155e-10,2.697586657780931
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,0.0,2.3161970841412725e-07,1.549585742495946e-07,4.4455455839152623e-10,2.6567516931318047
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,0.0,12338501945.088478,7381303223.745033,6766261722.877509,1.0
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,0.0,1.1710885290249952e-08,3.730156657282389e-05,1.029632543762611e-07,1.02427913011885
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,0.0,9.797301556738416e+119,1.4156726262290039e+128,2.647773049471091e+127,1.0
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,0.0,5.4383407941332086e-11,2.564301024985278e-07,8.11296428695503e-10,2.6503268694182074
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,0.0,0.0016734935853492641,0.00025755700606827414,0.0,1.0
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,gausset,2t3,0.0,5.512610467752975e+126,1.299584621960921e+128,3.2036792347776533e+127,1.0
52,HX_HY_HZ,8,oie,4.4,0.6,5.0,gausset,3t4,0.0,2.687916643035247e+22,1.479214714514267e+40,1.4968871648345077e+39,1.0
52,HX_HY_HZ,8,oie,4.4,0.2,1.0,expset,3t4,0.0,0.0001396694823041923,0.00032669469449244694,6.694905206540293e-05,1.0000000000000064
52,HX_HY_HZ,8,oie,3.3,1.0,1.0,gausset,1t4,0.0,0.0015364456127899466,1584.1654969706144,270.43763488463685,1.0
52,HX_HY_HZ,8,rdn,3.3,0.3,1.0,gausset,2t3,0.0,8815.096142313776,8018.702121132056,6856.360068040602,1.0
52,HX_HY_HZ,8,oie,3.3,0.2,5.0,expset,2t3,0.0,4.336256501740975e-07,9.446497497927113e-05,4.664163027523643e-07,1.000078968776734
52,HX_HY_HZ,8,oie,0.0,0.8,1.0,gausset,3t4,0.0,1.0842163783248946e-11,0.2534864378669491,0.003082479984852079,1.0
52,HX_HY_HZ,8,oie,7.8,0.5,5.0,gausset,1t4,0.0,1.1256431990641017e+125,9.299704947969795e+127,2.227363037707406e+127,1.0
52,HX_HY_HZ,8,rdn,3.3,0.3,2.3,gausset,1t4,0.0,7750774415.1712055,6526436831.822705,6417507351.618411,1.0
52,HX_HY_HZ,8,oie,2.2,0.3,2.3,expset,2t3,0.0,1.962115215214252e-06,0.0010136810890866317,5.74250701965897e-06,1.0
52,HX_HY_HZ,8,oie,7.8,0.9,3.7,expset,1t3,0.0,4.507109863864209e-07,3.560215335980593e-07,5.573645278366566e-10,2.601087206914199
52,HX_HY_HZ,8,oie,0.0,1.0,2.3,gausset,2t4,0.0,7.479671276140632e-06,0.20273778904186682,0.0045784280886458795,1.0
52,HX_HY_HZ,8,rdn,5.6,0.4,1.0,expset,2t3,0.0,6.384810259400808e-05,9.837831408403963e-11,3.222742497107049e-12,1.0016884123211665
52,HX_HY_HZ,8,rdn,0.0,0.4,3.7,expset,2t4,0.0,0.014360490633041529,1.0769618157220862e-06,1.9338933541213532e-16,1.0
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,0.0,9.017266754781135e-06,0.025663231065733802,4.28824539661896e-05,1.0
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,0.0,1.695311249337536e-07,9.66020166590078e-09,0.0,2.6729688482773497
