Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
310,HX_HY_HZ,0.0,2.0,gausset,1t2,2.9285245864581377e-86,0.00011995559171142714,2.2949807579834837e-16,0.3013279968105861
310,HX_HY_HZ,0.0,2.0,gausset,1t3,2.4343494330291465e-86,0.0001213620786278788,2.438731442152476e-16,0.29711952315218365
310,HX_HY_HZ,0.0,2.0,gausset,1t4,2.4345096136389644e-86,0.00012136847967283908,2.4393722569168126e-16,0.2971005050066074
310,HX_HY_HZ,0.0,3.0,gausset,1t2,1.8250163772905337e-82,0.00013230130368484692,2.651173051451541e-17,0.2663316248199357
310,HX_HY_HZ,0.0,3.0,gausset,1t3,1.7269050909407194e-82,0.00013298390912299635,2.7275548416232523e-17,0.2645198214347
310,HX_HY_HZ,0.0,3.0,gausset,1t4,1.7269078260217194e-82,0.0001329840468229515,2.7275716177055077e-17,0.2645194571912754
310,HX_HY_HZ,0.0,4.0,gausset,1t2,1.555457729529524e-79,0.00014732199324356789,3.992344387670331e-18,0.2291863313105789
310,HX_HY_HZ,0.0,4.0,gausset,1t3,1.5308347791161474e-79,0.00014763234386131168,4.042661376052181e-18,0.22847615270743496
310,HX_HY_HZ,0.0,4.0,gausset,1t4,1.5308348339021204e-79,0.000147632346854371,4.0426619408122725e-18,0.2284761458690084
310,HX_HY_HZ,0.0,1.0,gausset,1t2,1.2839494733511844e-93,0.00015954821533135677,3.5278834929438808e-15,0.20281071906464254
